symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type,entry_date,entry_time,exit_date,exit_time,breakeven_point,avg_buy_price,avg_sell_price,net_pnl,status,roi
WHIRLPOOL,2022-03-24,NSE,EQ,sell,140.0,1638.8,1300000002372557,09:34:36,,,,cash,2022-03-24,09:16:53,2022-03-24,09:34:36,2,1638.8,1647.0,-1148.0,1,-0.005
FSL,2022-03-25,NSE,EQ,sell,1200.0,133.8,1100000001303282,09:22:42,,,,cash,2022-03-25,09:07:06,2022-03-25,09:22:42,2,133.8,135.5,-2040.0,1,-0.0125
FSL,2022-09-12,NSE,EQ,sell,3600.0,117.7,1100000000691971,09:17:37,,,,cash,2022-09-12,09:07:30,2022-09-12,09:17:37,2,117.7,117.5,720.0,0,0.0017
ATUL,2022-03-28,NSE,EQ,sell,6.0,10008.0,1000000001210795,09:23:12,,,,cash,2022-03-28,09:15:06,2022-03-28,09:23:12,3,10009.25,10130.0,-724.5,1,-0.0119
ATUL,2022-09-13,NSE,EQ,sell,90.0,9701.0,1000000000217710,09:17:00,,,,cash,2022-09-13,09:07:45,2022-09-13,09:17:00,2,9701.0,9632.25,6187.5,0,0.0071
ACC,2022-03-30,NSE,EQ,sell,60.0,2172.65,1000000002455648,10:46:18,,,,cash,2022-03-30,09:07:18,2022-03-30,10:46:18,3,2172.4500000000003,2140.0,1947.0,0,0.0152
ACC,2022-09-07,NSE,EQ,sell,120.0,2445.0,1000000003726729,09:54:03,,,,cash,2022-09-07,09:38:32,2022-09-07,09:54:03,5,2445.0,2421.866666666667,2776.0,0,0.0096
ACC,2022-09-07,NSE,EQ,sell,40.0,2392.0,1000000009370677,11:15:39,,,,cash,2022-09-07,09:55:09,2022-09-07,11:15:39,5,2402.8,2434.575,-1271.0,1,-0.0131
ACC,2022-09-07,NSE,EQ,sell,130.0,2410.6,1000000022394809,14:26:45,,,,cash,2022-09-07,12:12:54,2022-09-07,14:26:45,6,2413.1,2416.076923076923,-387.0,1,-0.0012
ACC,2022-09-08,NSE,EQ,sell,400.0,2430.0,1000000001527225,09:28:36,,,,cash,2022-09-08,09:07:58,2022-09-08,09:28:36,3,2430.0,2420.8,3680.0,0,0.0038
ACC,2022-09-12,NSE,EQ,sell,178.0,2353.5,1000000000847149,09:22:27,,,,cash,2022-09-12,09:07:30,2022-09-12,09:22:27,2,2353.5,2375.0,-3827.0,1,-0.0091
ACC,2022-09-12,NSE,EQ,sell,100.0,2447.0,1000000009213850,13:12:55,,,,cash,2022-09-12,11:41:08,2022-09-12,13:12:55,7,2451.8,2457.535,-573.5,1,-0.0023
ACC,2022-09-14,NSE,EQ,sell,10.0,2662.65,1000000016870059,12:59:32,,,,cash,2022-09-14,11:20:33,2022-09-14,12:59:32,2,2662.65,2683.95,-213.0,1,-0.0079
ACC,2022-09-15,NSE,EQ,buy,362.0,2733.8,1000000000585076,09:21:19,,,,cash,2022-09-15,09:16:21,2022-09-15,09:21:19,2,2754.7,2733.8,7565.8,0,-0.0076
ACC,2022-09-21,NSE,EQ,sell,80.0,2612.0,1000000009049827,10:44:17,,,,cash,2022-09-21,10:38:38,2022-09-21,10:44:17,4,2612.5,2633.175,-1654.0,1,-0.0079
IPCALAB,2022-03-30,NSE,EQ,sell,340.0,1053.1,1100000001650820,09:26:17,,,,cash,2022-03-30,09:07:18,2022-03-30,09:26:17,3,1053.1111764705881,1064.85,-3991.2,1,-0.011
IPCALAB,2022-05-04,NSE,EQ,sell,200.0,1028.3,1100000001469231,09:27:49,,,,cash,2022-05-04,09:23:49,2022-05-04,09:27:49,2,1028.3,1024.4,780.0,0,0.0038
IPCALAB,2022-08-12,NSE,EQ,buy,534.0,928.7,1100000003101817,09:45:51,,,,cash,2022-08-12,09:41:47,2022-08-12,09:45:51,2,919.9,928.7,-4699.2,1,0.0096
IPCALAB,2022-08-22,NSE,EQ,sell,160.0,911.9,1100000002707436,09:57:25,,,,cash,2022-08-22,09:31:36,2022-08-22,09:57:25,2,911.9,903.9,1280.0,0,0.0089
IPCALAB,2022-11-02,NSE,EQ,sell,340.0,928.8,1100000000721098,09:18:33,,,,cash,2022-11-02,09:07:38,2022-11-02,09:18:33,2,928.8,924.65,1411.0,0,0.0045
TATACOMM,2022-03-31,NSE,EQ,sell,280.0,1226.5,1300000010417755,12:16:12,,,,cash,2022-03-31,11:58:01,2022-03-31,12:16:12,3,1226.1571428571428,1223.0,884.0,0,0.0026
TATACOMM,2022-04-08,NSE,EQ,sell,600.0,1344.7,1300000000492431,09:15:45,,,,cash,2022-04-08,09:07:13,2022-04-08,09:15:45,3,1344.7,1360.0,-9180.0,1,-0.0112
TATACOMM,2022-08-22,NSE,EQ,sell,740.0,1136.9,1300000001349396,09:21:51,,,,cash,2022-08-22,09:07:18,2022-08-22,09:21:51,3,1136.9,1128.4864864864865,6226.0,0,0.0075
TATACOMM,2022-08-22,NSE,EQ,buy,220.0,1157.2,1300000005312760,10:10:54,,,,cash,2022-08-22,09:39:48,2022-08-22,10:10:54,5,1158.918181818182,1158.8181818181818,22.0,0,-0.0001
PAGEIND,2022-04-01,NSE,EQ,sell,10.0,43224.9,1200000008910727,15:17:31,,,,cash,2022-04-01,09:15:01,2022-04-01,15:17:31,5,43101.340000000004,43117.9,-165.6,1,-0.0004
PAGEIND,2022-05-30,NSE,EQ,sell,8.0,45170.0,1200000020251721,15:20:54,,,,cash,2022-05-30,09:07:29,2022-05-30,15:20:54,2,45170.0,44636.05,4271.6,0,0.012
PAGEIND,2022-09-01,NSE,EQ,sell,12.0,51070.0,1200000001173960,10:12:36,,,,cash,2022-09-01,09:20:03,2022-09-01,10:12:36,3,51070.0,50957.375,1351.5,0,0.0022
MARICO,2022-04-01,NSE,EQ,sell,40.0,508.25,1200000001242851,09:23:38,,,,cash,2022-04-01,09:19:08,2022-04-01,09:23:38,2,508.25,507.8,18.0,0,0.0009
INDIACEM,2022-04-04,NSE,EQ,sell,1040.0,218.8,1100000002106322,09:31:01,,,,cash,2022-04-04,09:07:41,2022-04-04,09:31:01,3,218.8,220.44230769230768,-1708.0,1,-0.0075
INDIACEM,2022-08-23,NSE,EQ,buy,640.0,209.0,1100000008002026,10:35:14,,,,cash,2022-08-23,10:26:39,2022-08-23,10:35:14,2,209.85,209.0,544.0,0,-0.0041
INDIACEM,2022-09-16,NSE,EQ,sell,800.0,274.4,1100000016661179,13:01:04,,,,cash,2022-09-16,12:35:23,2022-09-16,13:01:04,3,274.4,277.9625,-2850.0,1,-0.0128
INDIACEM,2022-09-21,NSE,EQ,buy,500.0,276.2,1100000008881825,10:55:56,,,,cash,2022-09-21,10:42:02,2022-09-21,10:55:56,4,275.68,276.2,-260.0,1,0.0019
INDIACEM,2022-09-30,NSE,EQ,sell,3000.0,263.8,1100000020252711,13:19:28,,,,cash,2022-09-30,12:35:16,2022-09-30,13:19:28,3,263.8,261.56666666666666,6700.0,0,0.0085
ADANIPORTS,2022-04-05,NSE,EQ,sell,766.0,832.5,1000000002885442,09:39:08,,,,cash,2022-04-05,09:07:04,2022-04-05,09:39:08,4,832.1305483028721,840.0,-6028.0,1,-0.0094
GSPL,2022-04-05,NSE,EQ,sell,2384.0,281.1,1100000003979096,09:42:59,,,,cash,2022-04-05,09:07:04,2022-04-05,09:42:59,4,279.9955956375839,278.7340604026846,3007.5,0,0.0045
GSPL,2022-07-25,NSE,EQ,sell,900.0,237.15,1100000000622542,09:17:26,,,,cash,2022-07-25,09:15:00,2022-07-25,09:17:26,2,237.15,239.7,-2295.0,1,-0.0106
GSPL,2022-08-12,NSE,EQ,sell,4300.0,236.9,1100000000565955,09:19:44,,,,cash,2022-08-12,09:16:38,2022-08-12,09:19:44,2,236.9,235.8,4730.0,0,0.0047
GSPL,2022-08-16,NSE,EQ,sell,3000.0,247.85,1100000001588781,09:35:39,,,,cash,2022-08-16,09:17:32,2022-08-16,09:35:39,3,247.48333333333332,249.5,-6050.0,1,-0.0081
INDIAMART,2022-04-06,NSE,EQ,sell,94.0,5019.6,1100000000261373,09:15:38,,,,cash,2022-04-06,09:07:26,2022-04-06,09:15:38,2,5019.6,5069.8,-4718.8,1,-0.0099
INDIAMART,2022-04-26,NSE,EQ,sell,32.0,4950.0,1100000004385698,10:05:39,,,,cash,2022-04-26,10:02:10,2022-04-26,10:05:39,2,4950.0,4975.0,-800.0,1,-0.005
INDIAMART,2022-04-26,NSE,EQ,sell,20.0,5002.4,1100000004625100,14:57:07,,,,cash,2022-04-26,10:08:57,2022-04-26,14:57:07,2,5002.4,4963.95,769.0,0,0.0077
INDIAMART,2022-04-27,NSE,EQ,sell,120.0,5008.1,1100000002637123,09:34:56,,,,cash,2022-04-27,09:19:35,2022-04-27,09:34:56,2,5008.1,5027.0,-2268.0,1,-0.0038
