,symbol,trade_date,exchange,segment,trade_type,quantity,price,order_id,order_execution_time,strike_price,expiry_date,options_type,assets_type
164,TORNTPOWER,2022-04-19,NSE,EQ,sell,50.0,571.25,1300000000371934,2022-04-19T09:15:48,,,,cash
165,TORNTPOWER,2022-04-19,NSE,EQ,buy,700.0,567.1,1300000000316577,2022-04-19T09:21:12,,,,cash
166,TORNTPOWER,2022-04-19,NSE,EQ,buy,50.0,566.4,1300000003214928,2022-04-19T09:37:15,,,,cash
167,HINDCOPPER,2022-04-20,NSE,EQ,sell,2500.0,125.5,1100000000062282,2022-04-20T09:07:08,,,,cash
168,HINDCOPPER,2022-04-20,NSE,EQ,sell,800.0,125.7,1100000000998191,2022-04-20T09:19:16,,,,cash
169,HINDCOPPER,2022-04-20,NSE,EQ,buy,3300.0,124.55,1100000001339815,2022-04-20T09:42:58,,,,cash
170,EICHERMOT,2022-04-21,NSE,EQ,sell,75.0,2557.9,1100000001876457,2022-04-21T09:29:11,,,,cash
171,EICHERMOT,2022-04-21,NSE,EQ,sell,50.0,2558.0,1100000002208566,2022-04-21T09:32:36,,,,cash
172,EICHERMOT,2022-04-21,NSE,EQ,buy,125.0,2565.5,1100000004606104,2022-04-21T11:06:30,,,,cash
173,POLYCAB,2022-04-22,NSE,EQ,sell,60.0,2758.8,1200000000016357,2022-04-22T09:07:55,,,,cash
174,POLYCAB,2022-04-22,NSE,EQ,buy,60.0,2715.0,1200000014170727,2022-04-22T13:43:17,,,,cash
175,COLPAL,2022-04-25,NSE,EQ,sell,80.0,1602.4,1000000000042100,2022-04-25T09:16:41,,,,cash
176,COLPAL,2022-04-25,NSE,EQ,sell,40.0,1597.0,1000000001123037,2022-04-25T09:20:32,,,,cash
177,COLPAL,2022-04-25,NSE,EQ,sell,50.0,1607.5,1000000002262103,2022-04-25T09:30:17,,,,cash
178,COLPAL,2022-04-25,NSE,EQ,sell,40.0,1607.5,1000000013003270,2022-04-25T12:34:53,,,,cash
179,COLPAL,2022-04-25,NSE,EQ,buy,170.0,1616.45,1000000002557435,2022-04-25T13:16:35,,,,cash
180,COLPAL,2022-04-25,NSE,EQ,buy,40.0,1616.6,1000000015029772,2022-04-25T13:16:56,,,,cash
181,INDIAMART,2022-04-26,NSE,EQ,sell,16.0,4975.0,1100000004216646,2022-04-26T10:02:10,,,,cash
182,INDIAMART,2022-04-26,NSE,EQ,buy,16.0,4950.0,1100000004385698,2022-04-26T10:05:39,,,,cash
183,INDIAMART,2022-04-26,NSE,EQ,sell,10.0,4963.95,1100000004556574,2022-04-26T10:08:57,,,,cash
184,INDIAMART,2022-04-26,NSE,EQ,buy,10.0,5002.4,1100000004625100,2022-04-26T14:57:07,,,,cash
185,INDIAMART,2022-04-27,NSE,EQ,sell,60.0,5027.0,1100000000927232,2022-04-27T09:19:35,,,,cash
186,INDIAMART,2022-04-27,NSE,EQ,buy,60.0,5008.1,1100000002637123,2022-04-27T09:34:56,,,,cash
187,LALPATHLAB,2022-04-28,NSE,EQ,sell,60.0,2809.0,1200000000014408,2022-04-28T09:15:46,,,,cash
188,LALPATHLAB,2022-04-28,NSE,EQ,buy,60.0,2775.0,1200000000873409,2022-04-28T09:19:47,,,,cash
189,MFSL,2022-04-29,NSE,EQ,sell,350.0,766.35,1200000000034305,2022-04-29T09:07:14,,,,cash
190,NTPC,2022-04-29,NSE,EQ,sell,1300.0,160.4,1200000000034281,2022-04-29T09:07:14,,,,cash
191,MFSL,2022-04-29,NSE,EQ,buy,350.0,772.15,1200000001135990,2022-04-29T10:22:16,,,,cash
192,TATAMOTORS,2022-04-29,BSE,EQ,sell,40.0,439.3,1651203000046975856,2022-04-29T10:33:00,,,,cash
193,NTPC,2022-04-29,NSE,EQ,buy,1300.0,155.95,1200000019823548,2022-04-29T15:20:52,,,,cash
194,WIPRO,2022-05-02,NSE,EQ,buy,270.0,493.95,1300000019521541,2022-05-02T14:36:29,,,,cash
195,WIPRO,2022-05-02,NSE,EQ,sell,270.0,494.9,1300000019575728,2022-05-02T15:18:05,,,,cash
196,PIDILITIND,2022-05-04,NSE,EQ,buy,45.0,2413.0,1200000000033635,2022-05-04T09:07:04,,,,cash
197,PIDILITIND,2022-05-04,NSE,EQ,sell,45.0,2395.05,1200000000393070,2022-05-04T09:16:24,,,,cash
198,SRF,2022-05-04,NSE,EQ,buy,50.0,2504.8,1300000000057845,2022-05-04T09:16:33,,,,cash
199,SRF,2022-05-04,NSE,EQ,sell,50.0,2500.0,1300000001044639,2022-05-04T09:19:28,,,,cash
200,IPCALAB,2022-05-04,NSE,EQ,sell,100.0,1024.4,1100000001423763,2022-05-04T09:23:49,,,,cash
201,IPCALAB,2022-05-04,NSE,EQ,buy,100.0,1028.3,1100000001469231,2022-05-04T09:27:49,,,,cash
202,PETRONET,2022-05-05,NSE,EQ,sell,1000.0,216.75,1200000001459815,2022-05-05T09:25:21,,,,cash
203,PETRONET,2022-05-05,NSE,EQ,buy,1000.0,218.9,1200000001532163,2022-05-05T10:46:03,,,,cash
204,ABB,2022-05-10,NSE,EQ,sell,88.0,2306.0,1000000000035391,2022-05-10T09:15:34,,,,cash
205,ABB,2022-05-10,NSE,EQ,buy,88.0,2224.7,1000000000757209,2022-05-10T09:18:51,,,,cash
206,GNFC,2022-05-11,NSE,EQ,sell,190.0,838.0,1100000000025602,2022-05-11T09:07:45,,,,cash
207,GNFC,2022-05-11,NSE,EQ,buy,190.0,737.0,1100000013721563,2022-05-11T12:06:15,,,,cash
208,COROMANDEL,2022-05-12,NSE,EQ,sell,380.0,901.25,1000000000039154,2022-05-12T09:07:36,,,,cash
209,COROMANDEL,2022-05-12,NSE,EQ,buy,380.0,883.5,1000000005540213,2022-05-12T10:08:45,,,,cash
210,SUNPHARMA,2022-05-16,NSE,EQ,sell,230.0,882.5,1300000000052732,2022-05-16T09:18:35,,,,cash
211,SUNPHARMA,2022-05-16,NSE,EQ,buy,230.0,891.8,1300000003007156,2022-05-16T09:41:56,,,,cash
212,SUNPHARMA,2022-05-16,NSE,EQ,sell,100.0,887.5,1300000003804253,2022-05-16T09:47:49,,,,cash
213,SUNPHARMA,2022-05-16,NSE,EQ,buy,100.0,893.8,1300000003887774,2022-05-16T10:21:58,,,,cash
214,HONAUT,2022-05-17,NSE,EQ,sell,10.0,32500.0,1100000000038000,2022-05-17T09:07:30,,,,cash
215,OFSS,2022-05-17,NSE,EQ,buy,30.0,3160.5,1200000000043893,2022-05-17T09:29:26,,,,cash
216,OFSS,2022-05-17,NSE,EQ,sell,30.0,3148.3,1200000001964147,2022-05-17T09:36:27,,,,cash
217,HONAUT,2022-05-17,NSE,EQ,buy,1.0,32211.0,1100000002545064,2022-05-17T12:16:37,,,,cash
218,HONAUT,2022-05-17,NSE,EQ,buy,9.0,32155.0,1100000010496731,2022-05-17T13:12:51,,,,cash
219,COROMANDEL,2022-05-18,NSE,EQ,sell,100.0,953.0,1000000000785351,2022-05-18T09:19:29,,,,cash
220,COROMANDEL,2022-05-18,NSE,EQ,buy,200.0,953.0,1000000000902735,2022-05-18T09:20:27,,,,cash
221,COROMANDEL,2022-05-18,NSE,EQ,sell,350.0,952.35,1000000000943726,2022-05-18T09:20:46,,,,cash
222,COROMANDEL,2022-05-18,NSE,EQ,buy,2.0,939.0,1000000002046793,2022-05-18T10:01:17,,,,cash
