symbol,tradeDate,exchange,quantity,price,executionTime,strikePrice,expiryDate,optionsType,tradeType,assetType,id,tradeId
TATASTEEL,2022-08-01,NSE,1400,110.5,09:07:51,,,,sell,cash,b4830a9976b296788903b725a07a33f9,e81d4a233cf892bc7e522de04966d057
TATASTEEL,2022-08-01,NSE,1400,111.35,09:16:24,,,,buy,cash,7b4bcca7daeca1fb5cc830631ff2ef12,e81d4a233cf892bc7e522de04966d057
RAIN,2022-08-01,NSE,900,180.9775,09:20:39,,,,buy,cash,9151d87c4117760296f2abd77d587810,f250e7d65bc1de5908c53ac06a52881e
BATAINDIA,2022-08-01,NSE,90,1960.1911111111112,09:23:18,,,,buy,cash,cfbc04a1920842840e328ca220871877,f87eafb1eb777f6946b7cc390067689f
BATAINDIA,2022-08-01,NSE,75,1969.0,09:24:36,,,,sell,cash,cb132b2e7e3db5cfdf9f94fe8eed144a,2574935dce06830465eec489c237c08b
BATAINDIA,2022-08-01,NSE,75,1954.15,10:43:01,,,,buy,cash,de8620c7fa07b25e4fbe4e99533df78e,2574935dce06830465eec489c237c08b
BOSCHLTD,2022-08-02,NSE,15,17582.0,09:15:59,,,,buy,cash,4969cb8dadca429e68411cd0985f7ba9,fd4be7bd6f1746fdf739e2661d9423b7
BOSCHLTD,2022-08-02,NSE,15,17739.0,09:24:17,,,,sell,cash,36f604b27f89abb8abb0fcfa29da94e1,fd4be7bd6f1746fdf739e2661d9423b7
EICHERMOT,2022-08-02,NSE,28,3001.0,09:32:33,,,,sell,cash,836f026db701fec05f6932cac0b95566,698ff6437f507222d06bc369db319b04
EICHERMOT,2022-08-02,NSE,28,3025.0,09:33:58,,,,buy,cash,82ca69fc49419b40a3e23f4b80ee06f3,698ff6437f507222d06bc369db319b04
BALKRISIND,2022-08-03,NSE,140,2440.0,09:07:20,,,,sell,cash,d2d3e8aa6c45a4eeb1046e630a683e94,e3c63b89eadbf1b7e69df1d19f1f5d22
BALKRISIND,2022-08-03,NSE,140,2439.0,09:19:29,,,,buy,cash,76155ac1d1edfd375673cd6e0c65ac85,e3c63b89eadbf1b7e69df1d19f1f5d22
GRANULES,2022-08-03,NSE,500,317.307,09:21:15,,,,sell,cash,11d7de64284e732c8607564794027863,cfcd7136dc8041daa82d7b5193d0ef83
GRANULES,2022-08-03,NSE,500,314.4,09:32:03,,,,buy,cash,7ac23fbe4fa906d2b492ce24316e5e56,cfcd7136dc8041daa82d7b5193d0ef83
PIIND,2022-08-04,NSE,72,3191.6652777777776,09:26:39,,,,sell,cash,1d69cb0c87a3bdd1e7b7cc4257f2a73c,e8f119cb6416c7217761f1080a96a0d4
BATAINDIA,2022-08-04,NSE,82,1918.0,09:29:25,,,,buy,cash,7e1269f4494de60d5c52d5302ae23305,b36ba17ddf069502a1148e330c243312
PIIND,2022-08-04,NSE,72,3159.6000000000004,09:38:29,,,,buy,cash,ed407d1a0551e9ae8f4a03e4db622f22,e8f119cb6416c7217761f1080a96a0d4
BATAINDIA,2022-08-04,NSE,82,1905.5,11:30:37,,,,sell,cash,f8e1d11cf54e45b330507ae614d024fa,b36ba17ddf069502a1148e330c243312
ASTRAL,2022-08-05,NSE,120,1980.4000000000003,09:07:55,,,,sell,cash,83714143cec3b6f8cafd5551b81a00e5,b22517c346994752d17a9afc495e3e02
LAURUSLABS,2022-08-05,NSE,428,546.55,09:07:55,,,,sell,cash,83af986d0df20545623c02f8021d4036,f148b8bf19fc609c6a85033c0fb3132d
LAURUSLABS,2022-08-05,NSE,428,550.85,09:23:30,,,,buy,cash,27f816a08ac3b58a328dc5577218b112,f148b8bf19fc609c6a85033c0fb3132d
